2379-6;104785;GST RBC-cCnc;MS C2 RC;60
96826-3;103506;Cardio Score SOFA;Score DGAI;67
96826-3;103507;Cardio Score SOFA;Score DGAI;67
96826-3;103509;Cardio Score SOFA;Score DGAI;67
96826-3;103510;Cardio Score SOFA;Score DGAI;67
96826-3;103511;Cardio Score SOFA;Score DGAI;67
96826-3;103512;Cardio Score SOFA;Score DGAI;67
96826-3;103518;Cardio Score SOFA;Score DGAI;67
96826-3;103523;Cardio Score SOFA;Score DGAI;67
96826-3;103527;Cardio Score SOFA;Score DGAI;67
96826-3;103536;Cardio Score SOFA;Score DGAI;67
96826-3;103538;Cardio Score SOFA;Score DGAI;67
96826-3;103540;Cardio Score SOFA;Score DGAI;67
96826-3;103543;Cardio Score SOFA;Score DGAI;67
96826-3;103544;Cardio Score SOFA;Score DGAI;67
96826-3;103545;Cardio Score SOFA;Score DGAI;67
96826-3;103550;Cardio Score SOFA;Score DGAI;67
96826-3;103551;Cardio Score SOFA;Score DGAI;67
96826-3;103554;Cardio Score SOFA;Score DGAI;67
96826-3;103556;Cardio Score SOFA;Score DGAI;67
96826-3;103557;Cardio Score SOFA;Score DGAI;67
96826-3;103558;Cardio Score SOFA;Score DGAI;67
96826-3;103559;Cardio Score SOFA;Score DGAI;67
96826-3;103560;Cardio Score SOFA;Score DGAI;67
96826-3;103562;Cardio Score SOFA;Score DGAI;67
96826-3;105222;Cardio Score SOFA;Score NRS;71
96826-3;105223;Cardio Score SOFA;Score BPS;71
96826-3;106469;Cardio Score SOFA;IABP CARDIOSAVE;62
96826-3;106651;Cardio Score SOFA;Score UStix;62
96826-3;107969;Cardio Score SOFA;Score Ramsay;62
96826-3;108395;Cardio Score SOFA;Score FLACC;62
96826-3;108441;Cardio Score SOFA;Score SOS;71
96826-3;108458;Cardio Score SOFA;Score SOS;71
96826-3;108680;Cardio Score SOFA;Score NACA;67
96826-3;108684;Cardio Score SOFA;Score ISS;71
96826-3;110976;Cardio Score SOFA;Score FOUR;67
96826-3;117221;Cardio Score SOFA;Score;100
96826-3;117225;Cardio Score SOFA;Score Race;67
34571-0;101973;Screen aPTT;Score SAPS2;64
34571-0;102785;Screen aPTT;Score AIS;60
34571-0;102788;Screen aPTT;Score Apgar;64
34571-0;102791;Screen aPTT;Score BPS;60
34571-0;102811;Screen aPTT;Score RTS;60
34571-0;102812;Screen aPTT;Score SAS;60
34571-0;105223;Screen aPTT;Score BPS;60
2001-6;102721;Calcium 24h Stl-sCnc;Calcium;100
2001-6;102743;Calcium 24h Stl-sCnc;Calcium;100
2001-6;103054;Calcium 24h Stl-sCnc;Calcium;100
2001-6;107934;Calcium 24h Stl-sCnc;P ADS MS ADS Calcium postFilter;60
13440-3;108624;Interpretation Ur IFE-Imp;P Lifetherm Temperatur;60
55925-2;110915;IgM Ser Elph-mCnc;MS Servoi I E;60
19219-5;100807;O2 Ct BldC-sCnc;O2;100
19219-5;101624;O2 Ct BldC-sCnc;O2;100
19219-5;102198;O2 Ct BldC-sCnc;O2;100
96825-5;101973;Liver Score SOFA;Score SAPS2;62
96825-5;101992;Liver Score SOFA;Score SOFA;100
96825-5;102764;Liver Score SOFA;Score ARDS;67
96825-5;102784;Liver Score SOFA;Score RASS;67
96825-5;102785;Liver Score SOFA;Score AIS;71
96825-5;102788;Liver Score SOFA;Score Apgar;62
96825-5;102790;Liver Score SOFA;Score Besinger;60
96825-5;102791;Liver Score SOFA;Score BPS;71
96825-5;102792;Liver Score SOFA;Score CIWA;67
96825-5;102793;Liver Score SOFA;Score Cleveland;65
96825-5;102795;Liver Score SOFA;Score CRIB;67
96825-5;102796;Liver Score SOFA;Score DRS;71
96825-5;102798;Liver Score SOFA;Score GDS;71
96825-5;102800;Liver Score SOFA;Score Kuss;67
96825-5;102801;Liver Score SOFA;Score MAAS;67
96825-5;102802;Liver Score SOFA;Score MMS;71
96825-5;102803;Liver Score SOFA;Score MOF;71
96825-5;102804;Liver Score SOFA;Score mRS;71
96825-5;102806;Liver Score SOFA;Score NIHSS;62
96825-5;102807;Liver Score SOFA;Score NIPS;67
96825-5;102810;Liver Score SOFA;Score RSS;71
96825-5;102811;Liver Score SOFA;Score RTS;71
96825-5;102812;Liver Score SOFA;Score SAS;71
96825-5;102813;Liver Score SOFA;Score Lachs;62
96825-5;102815;Liver Score SOFA;Score VICS;67
96825-5;102816;Liver Score SOFA;Score Waterlow;60
96825-5;103444;Liver Score SOFA;Score DGAI;67
96825-5;103458;Liver Score SOFA;Score DGAI;67
96825-5;103506;Liver Score SOFA;Score DGAI;67
96825-5;103507;Liver Score SOFA;Score DGAI;67
96825-5;103509;Liver Score SOFA;Score DGAI;67
96825-5;103510;Liver Score SOFA;Score DGAI;67
96825-5;103511;Liver Score SOFA;Score DGAI;67
96825-5;103512;Liver Score SOFA;Score DGAI;67
96825-5;103518;Liver Score SOFA;Score DGAI;67
96825-5;103523;Liver Score SOFA;Score DGAI;67
96825-5;103527;Liver Score SOFA;Score DGAI;67
96825-5;103536;Liver Score SOFA;Score DGAI;67
96825-5;103538;Liver Score SOFA;Score DGAI;67
96825-5;103540;Liver Score SOFA;Score DGAI;67
96825-5;103543;Liver Score SOFA;Score DGAI;67
96825-5;103544;Liver Score SOFA;Score DGAI;67
96825-5;103545;Liver Score SOFA;Score DGAI;67
96825-5;103550;Liver Score SOFA;Score DGAI;67
96825-5;103551;Liver Score SOFA;Score DGAI;67
96825-5;103554;Liver Score SOFA;Score DGAI;67
96825-5;103556;Liver Score SOFA;Score DGAI;67
96825-5;103557;Liver Score SOFA;Score DGAI;67
96825-5;103558;Liver Score SOFA;Score DGAI;67
96825-5;103559;Liver Score SOFA;Score DGAI;67
96825-5;103560;Liver Score SOFA;Score DGAI;67
96825-5;103562;Liver Score SOFA;Score DGAI;67
96825-5;105222;Liver Score SOFA;Score NRS;71
96825-5;105223;Liver Score SOFA;Score BPS;71
96825-5;106651;Liver Score SOFA;Score UStix;62
96825-5;107969;Liver Score SOFA;Score Ramsay;64
96825-5;108233;Liver Score SOFA;Score Petrussa;67
96825-5;108395;Liver Score SOFA;Score FLACC;62
96825-5;108441;Liver Score SOFA;Score SOS;71
96825-5;108458;Liver Score SOFA;Score SOS;71
96825-5;108641;Liver Score SOFA;Score Finnegan;60
96825-5;108680;Liver Score SOFA;Score NACA;67
96825-5;108684;Liver Score SOFA;Score ISS;71
96825-5;110976;Liver Score SOFA;Score FOUR;67
96825-5;117221;Liver Score SOFA;Score;100
96825-5;117225;Liver Score SOFA;Score Race;67
44796-1;107976;C bot Tox Spec;P C3 Body Wt;62
44796-1;108245;C bot Tox Spec;Sectio Notsectio;60
2021-4;102170;pCO2 BldV;PICCO ITBV;63
2021-4;102171;pCO2 BldV;PICCO ITBVI;60
2021-4;117154;pCO2 BldV;SpO2 l;67
50560-2;110926;pH Ur Strip.auto;P Temperatur Haut;61
2889-4;104108;Prot 24h Ur-mRate;Temperatur 2a;60
2889-4;104109;Prot 24h Ur-mRate;Temperatur 2b;60
14040-0;101423;CO2 Stl-sCnc;CO2;100
14040-0;101434;CO2 Stl-sCnc;CO2;100
14040-0;104788;CO2 Stl-sCnc;MS C2 TE;60
14040-0;104789;CO2 Stl-sCnc;MS C2 TI;60
55134-1;103158;FLUAV NA RNA Islt NAA+probe;Na;100
55134-1;103190;FLUAV NA RNA Islt NAA+probe;Na;100
55134-1;104882;FLUAV NA RNA Islt NAA+probe;Na;100
55134-1;104898;FLUAV NA RNA Islt NAA+probe;Na;100
55134-1;104923;FLUAV NA RNA Islt NAA+probe;Na;100
55134-1;104938;FLUAV NA RNA Islt NAA+probe;Na;100
55134-1;110787;FLUAV NA RNA Islt NAA+probe;P Na;67
55134-1;110807;FLUAV NA RNA Islt NAA+probe;P Na;67
2839-9;107975;Progest SerPl-mCnc;P C3 Groesse;60
2703-7;104117;pO2 BldA;MS ILA SpO2;63
2703-7;104780;pO2 BldA;AT O2;62
2703-7;117154;pO2 BldA;SpO2 l;71
15793-3;108157;Insulin Human IgE RAST Ql;Insulin ja;82
15793-3;108158;Insulin Human IgE RAST Ql;Insulin nein;74
69379-6;104816;van(A+B+C1+C2) genes Islt/Spm;C2;100
69379-6;104822;van(A+B+C1+C2) genes Islt/Spm;C2;100
69379-6;104823;van(A+B+C1+C2) genes Islt/Spm;C2;100
69379-6;106283;van(A+B+C1+C2) genes Islt/Spm;C2;100
28643-5;1273;SaO2 % BldCoV;SaO2;100
6179-6;103168;Mouse Epith IgE Qn;MS Leitfähigkeit;61
6179-6;103199;Mouse Epith IgE Qn;MS Leitfähigkeit;61
6179-6;104864;Mouse Epith IgE Qn;MS Leitfähigkeit;61
6179-6;104873;Mouse Epith IgE Qn;MS Leitfähigkeit;61
82752-7;104939;Travel start date;Start Na;77
34611-4;110860;PSA Ur-mCnc;P RTX Min;60
9704-8;108506;Sperm Smn;P NBP reArm;60
13476-7;105011;Silver/Creat Ur;CRRT Filter;62
50505-7;108157;Insulin sp5 SerPl-aCnc;Insulin ja;82
50505-7;108158;Insulin sp5 SerPl-aCnc;Insulin nein;74
61101-2;103158;FLUAV NA RNA Spec Seq;Na;100
61101-2;103190;FLUAV NA RNA Spec Seq;Na;100
61101-2;104882;FLUAV NA RNA Spec Seq;Na;100
61101-2;104898;FLUAV NA RNA Spec Seq;Na;100
61101-2;104923;FLUAV NA RNA Spec Seq;Na;100
61101-2;104938;FLUAV NA RNA Spec Seq;Na;100
61101-2;110787;FLUAV NA RNA Spec Seq;P Na;67
61101-2;110807;FLUAV NA RNA Spec Seq;P Na;67
33815-2;108157;Insulin sp1 p chal SerPl-aCnc;Insulin ja;82
33815-2;108158;Insulin sp1 p chal SerPl-aCnc;Insulin nein;74
8056-4;104236;YFV IgM Ser-aCnc;MS Servoi Cdyn;60
12301-8;104941;Procaine Ur Ql;UF Profil;61
50502-4;108157;Insulin sp2 SerPl-aCnc;Insulin ja;82
50502-4;108158;Insulin sp2 SerPl-aCnc;Insulin nein;74
15687-7;106331;Duck Feather IgE RAST Ql;MS DruckArteriell;63
30067-3;103925;Proline/Creat Ur-Rto;Rotorest reRotWinkel;60
1570-1;108157;Insulin BS SerPl-mCnc;Insulin ja;82
1570-1;108158;Insulin BS SerPl-mCnc;Insulin nein;74
45062-7;108718;CRP CSF-mCnc;P CSF MS ICP;67
16689-2;104973;Creat 48h Ur-mRate;CRRT Temperatur;61
16689-2;104994;Creat 48h Ur-mRate;CRRT Temperatur;61
11557-6;117154;pCO2 Bld;SpO2 l;71
43330-0;110915;EEEV IgM Titr Ser IA;MS Servoi I E;61
28646-8;102040;pH BldCoA;p-CO;62
6147-3;108157;Insulin Bovine IgE Qn;Insulin ja;82
6147-3;108158;Insulin Bovine IgE Qn;Insulin nein;74
14620-9;103258;Appearance Plr;ApneaRate;61
34728-6;101423;CO2 Bld Calc-sCnc;CO2;100
34728-6;101434;CO2 Bld Calc-sCnc;CO2;100
25690-9;108157;Insulin sp15 p chal SerPl-sCnc;Insulin ja;82
25690-9;108158;Insulin sp15 p chal SerPl-sCnc;Insulin nein;74
31374-2;103158;EBV NA IgG Ser-aCnc;Na;100
31374-2;103190;EBV NA IgG Ser-aCnc;Na;100
31374-2;104882;EBV NA IgG Ser-aCnc;Na;100
31374-2;104898;EBV NA IgG Ser-aCnc;Na;100
31374-2;104923;EBV NA IgG Ser-aCnc;Na;100
31374-2;104938;EBV NA IgG Ser-aCnc;Na;100
31374-2;110787;EBV NA IgG Ser-aCnc;P Na;67
31374-2;110807;EBV NA IgG Ser-aCnc;P Na;67
38476-8;104236;MIS SerPl-mCnc;MS Servoi Cdyn;64
38476-8;110937;MIS SerPl-mCnc;P MS MAC;64
46197-0;102140;MeV Ab Ser Ql;Abdomen Leber;62
25122-3;104973;PETN/Creat Ur-sRto;CRRT Temperatur;61
25122-3;104994;PETN/Creat Ur-sRto;CRRT Temperatur;61
39465-0;101423;CO2 BldCoV-sCnc;CO2;100
39465-0;101434;CO2 BldCoV-sCnc;CO2;100
55594-6;106331;Duck Feather IgE Ql;MS DruckArteriell;61
55594-6;108625;Duck Feather IgE Ql;P Doku Lifetherm Neigung;60
15164-7;107985;C3 Snv-mCnc;P C3;67
15164-7;107992;C3 Snv-mCnc;P C3;67
15164-7;108010;C3 Snv-mCnc;P C3;67
15164-7;110827;C3 Snv-mCnc;C3 F SIMV;60
15164-7;110828;C3 Snv-mCnc;P C3;67
15164-7;110831;C3 Snv-mCnc;P C3;67
6039-2;100359;Beef IgE Qn;Bewegen;67
6039-2;100418;Beef IgE Qn;Befinden;63
21232-4;104967;Creat BldA-mCnc;CRRT MS Bilanz;62
21232-4;106402;Creat BldA-mCnc;CRRT MS Bilanz;62
50749-1;110753;Prot Ur-Imp;P Temperatur;61
50749-1;110785;Prot Ur-Imp;P Temperatur;61
50749-1;110805;Prot Ur-Imp;P Temperatur;61
160-2;104733;Cephalothin Islt MLC;MS Halothan insp;67
34520-7;101423;CO2 BldCo-sCnc;CO2;100
34520-7;101434;CO2 BldCo-sCnc;CO2;100
31373-4;103158;EBV NA IgG CSF-aCnc;Na;100
31373-4;103190;EBV NA IgG CSF-aCnc;Na;100
31373-4;104882;EBV NA IgG CSF-aCnc;Na;100
31373-4;104898;EBV NA IgG CSF-aCnc;Na;100
31373-4;104923;EBV NA IgG CSF-aCnc;Na;100
31373-4;104938;EBV NA IgG CSF-aCnc;Na;100
31373-4;110787;EBV NA IgG CSF-aCnc;P Na;67
31373-4;110807;EBV NA IgG CSF-aCnc;P Na;67
4485-9;107985;C3 SerPl-mCnc;P C3;67
4485-9;107992;C3 SerPl-mCnc;P C3;67
4485-9;108010;C3 SerPl-mCnc;P C3;67
4485-9;108028;C3 SerPl-mCnc;P MS C3;60
4485-9;108031;C3 SerPl-mCnc;P MS C3;60
4485-9;110828;C3 SerPl-mCnc;P C3;67
4485-9;110831;C3 SerPl-mCnc;P C3;67
8334-5;103888;Bdy temp Bladder;Doku Temp;62
8334-5;105049;Bdy temp Bladder;CRRT Temp;62
8334-5;105050;Bdy temp Bladder;CRRT Temp;62
4484-2;104816;C2 SerPl-mCnc;C2;100
4484-2;104822;C2 SerPl-mCnc;C2;100
4484-2;104823;C2 SerPl-mCnc;C2;100
4484-2;106283;C2 SerPl-mCnc;C2;100
13538-4;101423;CO2 Ur-sCnc;CO2;100
13538-4;101434;CO2 Ur-sCnc;CO2;100
13538-4;104785;CO2 Ur-sCnc;MS C2 RC;63
33848-3;107830;Plasma cell prec # Bld Manual;PRec;100
39486-6;103888;pH temp adj BldV;Doku Temp;62
39486-6;105049;pH temp adj BldV;CRRT Temp;62
39486-6;105050;pH temp adj BldV;CRRT Temp;62
26516-5;102585;Platelet # Plas;Plasmarate;61
26516-5;103262;Platelet # Plas;MS Plateau;61
14637-3;102721;Calcium 24h Ur-sRate;Calcium;100
14637-3;102743;Calcium 24h Ur-sRate;Calcium;100
14637-3;103054;Calcium 24h Ur-sRate;Calcium;100
14637-3;104974;Calcium 24h Ur-sRate;CRRT CalciumFiltrat;62
14637-3;104995;Calcium 24h Ur-sRate;CRRT CalciumFiltrat;62
14637-3;107935;Calcium 24h Ur-sRate;P ADS MS ADS Calcium preFilter;61
1827-5;103433;A1AT MS SerPl-mCnc;MS i;67
1827-5;107839;A1AT MS SerPl-mCnc;MS i;67
1827-5;110780;A1AT MS SerPl-mCnc;P MS;67
2744-1;100091;pH BldA;LAP;60
49135-7;103158;Fract excret Na Ur+SerPl-Rto;Na;100
49135-7;103190;Fract excret Na Ur+SerPl-Rto;Na;100
49135-7;104882;Fract excret Na Ur+SerPl-Rto;Na;100
49135-7;104898;Fract excret Na Ur+SerPl-Rto;Na;100
49135-7;104923;Fract excret Na Ur+SerPl-Rto;Na;100
49135-7;104938;Fract excret Na Ur+SerPl-Rto;Na;100
49135-7;110787;Fract excret Na Ur+SerPl-Rto;P Na;67
49135-7;110807;Fract excret Na Ur+SerPl-Rto;P Na;67
2436-4;104108;HVA 24h Ur-mRate;Temperatur 2a;62
29805-9;108718;POWV IgM CSF Ql IF;P CSF MS ICP;60
664-3;104714;Gram Stn Spec;T Rampe;70
19211-2;104117;pO2 BldMV;MS ILA SpO2;60
19211-2;117154;pO2 BldMV;SpO2 l;67
100860-6;105022;CD4 TNFa/CD4 p Stim COVID Sp;A STIM;80
100860-6;105023;CD4 TNFa/CD4 p Stim COVID Sp;V STIM;80
9274-2;101973;5M Apgar Score;Score SAPS2;64
9274-2;101992;5M Apgar Score;Score SOFA;67
9274-2;102764;5M Apgar Score;Score ARDS;67
9274-2;102784;5M Apgar Score;Score RASS;67
9274-2;102785;5M Apgar Score;Score AIS;71
9274-2;102787;5M Apgar Score;Score APACHE2;67
9274-2;102788;5M Apgar Score;Score Apgar;100
9274-2;102791;5M Apgar Score;Score BPS;71
9274-2;102792;5M Apgar Score;Score CIWA;67
9274-2;102795;5M Apgar Score;Score CRIB;67
9274-2;102796;5M Apgar Score;Score DRS;71
9274-2;102798;5M Apgar Score;Score GDS;71
9274-2;102800;5M Apgar Score;Score Kuss;67
9274-2;102801;5M Apgar Score;Score MAAS;75
9274-2;102802;5M Apgar Score;Score MMS;71
9274-2;102803;5M Apgar Score;Score MOF;71
9274-2;102804;5M Apgar Score;Score mRS;71
9274-2;102806;5M Apgar Score;Score NIHSS;62
9274-2;102807;5M Apgar Score;Score NIPS;67
9274-2;102810;5M Apgar Score;Score RSS;71
9274-2;102811;5M Apgar Score;Score RTS;71
9274-2;102812;5M Apgar Score;Score SAS;71
9274-2;102813;5M Apgar Score;Score Lachs;62
9274-2;102815;5M Apgar Score;Score VICS;67
9274-2;103444;5M Apgar Score;Score DGAI;67
9274-2;103458;5M Apgar Score;Score DGAI;67
9274-2;103506;5M Apgar Score;Score DGAI;67
9274-2;103507;5M Apgar Score;Score DGAI;67
9274-2;103509;5M Apgar Score;Score DGAI;67
9274-2;103510;5M Apgar Score;Score DGAI;67
9274-2;103511;5M Apgar Score;Score DGAI;67
9274-2;103512;5M Apgar Score;Score DGAI;67
9274-2;103518;5M Apgar Score;Score DGAI;67
9274-2;103523;5M Apgar Score;Score DGAI;67
9274-2;103527;5M Apgar Score;Score DGAI;67
9274-2;103536;5M Apgar Score;Score DGAI;67
9274-2;103538;5M Apgar Score;Score DGAI;67
9274-2;103540;5M Apgar Score;Score DGAI;67
9274-2;103543;5M Apgar Score;Score DGAI;67
9274-2;103544;5M Apgar Score;Score DGAI;67
9274-2;103545;5M Apgar Score;Score DGAI;67
9274-2;103550;5M Apgar Score;Score DGAI;67
9274-2;103551;5M Apgar Score;Score DGAI;67
9274-2;103554;5M Apgar Score;Score DGAI;67
9274-2;103556;5M Apgar Score;Score DGAI;67
9274-2;103557;5M Apgar Score;Score DGAI;67
9274-2;103558;5M Apgar Score;Score DGAI;67
9274-2;103559;5M Apgar Score;Score DGAI;67
9274-2;103560;5M Apgar Score;Score DGAI;67
9274-2;103562;5M Apgar Score;Score DGAI;67
9274-2;105222;5M Apgar Score;Score NRS;71
9274-2;105223;5M Apgar Score;Score BPS;71
9274-2;106651;5M Apgar Score;Score UStix;62
9274-2;107969;5M Apgar Score;Score Ramsay;62
9274-2;108395;5M Apgar Score;Score FLACC;62
9274-2;108441;5M Apgar Score;Score SOS;71
9274-2;108458;5M Apgar Score;Score SOS;71
9274-2;108680;5M Apgar Score;Score NACA;67
9274-2;108684;5M Apgar Score;Score ISS;71
9274-2;110976;5M Apgar Score;Score FOUR;67
9274-2;117221;5M Apgar Score;Score;100
9274-2;117225;5M Apgar Score;Score Race;67
57800-5;100807;O2 Ct VFr Bld Calc;O2;100
57800-5;101624;O2 Ct VFr Bld Calc;O2;100
57800-5;102198;O2 Ct VFr Bld Calc;O2;100
5204-3;104245;HSV Ab Titr Ser CF;MS Servoi AF;60
5204-3;104246;HSV Ab Titr Ser CF;MS Servoi Af;60
33816-0;108157;Insulin sp2 p chal SerPl-aCnc;Insulin ja;82
33816-0;108158;Insulin sp2 p chal SerPl-aCnc;Insulin nein;74
19994-3;100807;O2/Total gas setting VFr Vent;O2;100
19994-3;101624;O2/Total gas setting VFr Vent;O2;100
19994-3;102198;O2/Total gas setting VFr Vent;O2;100
19255-9;103888;pO2 temp adj BldA;Doku Temp;62
19255-9;105049;pO2 temp adj BldA;CRRT Temp;62
19255-9;105050;pO2 temp adj BldA;CRRT Temp;62
3058-5;104789;TPI Ser-cCnc;MS C2 TI;60
31083-9;102968;Lead 8h Ur-mRate;ADM Temperatur;60
31083-9;103007;Lead 8h Ur-mRate;ADM Temperatur;60
51610-4;102721;Calcium 12h Ur-sRate;Calcium;100
51610-4;102743;Calcium 12h Ur-sRate;Calcium;100
51610-4;103054;Calcium 12h Ur-sRate;Calcium;100
51610-4;104974;Calcium 12h Ur-sRate;CRRT CalciumFiltrat;62
51610-4;104995;Calcium 12h Ur-sRate;CRRT CalciumFiltrat;62
51610-4;107935;Calcium 12h Ur-sRate;P ADS MS ADS Calcium preFilter;61
33254-4;103888;pH temp adj BldA;Doku Temp;62
33254-4;105049;pH temp adj BldA;CRRT Temp;62
33254-4;105050;pH temp adj BldA;CRRT Temp;62
5122-7;107988;CMV Ab SerPl IF-aCnc;P C3 F CMV;60
40747-8;104816;C2 SerPl Ql;C2;100
40747-8;104822;C2 SerPl Ql;C2;100
40747-8;104823;C2 SerPl Ql;C2;100
40747-8;106283;C2 SerPl Ql;C2;100
19218-7;100807;O2 Ct BldA-sCnc;O2;100
19218-7;101624;O2 Ct BldA-sCnc;O2;100
19218-7;102198;O2 Ct BldA-sCnc;O2;100
13789-3;104973;PETN/Creat Ur;CRRT Temperatur;64
13789-3;104994;PETN/Creat Ur;CRRT Temperatur;64
2708-6;1273;SaO2 % BldA;SaO2;100
2708-6;104117;SaO2 % BldA;MS ILA SpO2;60
2708-6;117154;SaO2 % BldA;SpO2 l;67
5243-1;104245;MeV Ab Titr Ser CF;MS Servoi AF;60
5243-1;104246;MeV Ab Titr Ser CF;MS Servoi Af;60
10738-3;103819;Virus Tiss EM;NIRS MS;60
9481-3;102142;pH Wat;Haut;60
54244-9;110784;FLUV Spec;P Fluss;62
54244-9;110804;FLUV Spec;P Fluss;62
14360-2;104714;Gram Stn Plr;T Rampe;63
23830-3;100203;B pert.PT IgA Ser-aCnc;PT;100
23830-3;100676;B pert.PT IgA Ser-aCnc;PT;100
24461-6;105020;FA SerPl-sCnc;A Sense;60
24461-6;105033;FA SerPl-sCnc;A-Sense;60
100858-0;105022;CD4+154/CD4 stim COVID Spike;A STIM;80
100858-0;105023;CD4+154/CD4 stim COVID Spike;V STIM;80
30055-8;104973;Phe/Creat Ur-Rto;CRRT Temperatur;65
30055-8;104994;Phe/Creat Ur-Rto;CRRT Temperatur;65
75218-8;105003;Case rprt;CRRT;62
75218-8;105010;Case rprt;CRRT;62
75218-8;105013;Case rprt;CRRT;62
24128-1;100203;B pert.PT IgA Ser IA-aCnc;PT;100
24128-1;100676;B pert.PT IgA Ser IA-aCnc;PT;100
33814-5;108157;Insulin sp15 p chal SerPl-aCnc;Insulin ja;82
33814-5;108158;Insulin sp15 p chal SerPl-aCnc;Insulin nein;74
41131-4;108718;MuV IgM CSF Ql;P CSF MS ICP;62
50506-5;108157;Insulin sp6 SerPl-aCnc;Insulin ja;82
50506-5;108158;Insulin sp6 SerPl-aCnc;Insulin nein;74
6100-2;106331;Duck Feather IgE Qn;MS DruckArteriell;61
6100-2;108625;Duck Feather IgE Qn;P Doku Lifetherm Neigung;60
14910-4;104233;Serotonin Ser-sCnc;MS Servoi Re;60
14910-4;104234;Serotonin Ser-sCnc;MS Servoi Ri;60
14910-4;104236;Serotonin Ser-sCnc;MS Servoi Cdyn;62
20874-4;106521;Manganese Tiss-mCnt;Anamnese Nein;62
32240-4;108281;Fructose Ur Ql;Fruchtwasser;62
32240-4;108282;Fructose Ur Ql;Fruchtwasser klar;65
10931-4;100135;Daphnia IgE Qn;Drainagen;61
51480-2;110926;Bacteria # Ur Auto;P Temperatur Haut;61
60546-9;108042;PV Islt Cult;P EctSta;60
2150-1;110930;Creatine 24h Ur-mRate;P Temperatur Rektal;60
9326-0;102883;PS IgG Ser Ql IA;PS;100
9326-0;104717;PS IgG Ser Ql IA;PS;100
87716-7;103158;FLUAV NA gene Islt-Seq;Na;100
87716-7;103190;FLUAV NA gene Islt-Seq;Na;100
87716-7;104882;FLUAV NA gene Islt-Seq;Na;100
87716-7;104898;FLUAV NA gene Islt-Seq;Na;100
87716-7;104923;FLUAV NA gene Islt-Seq;Na;100
87716-7;104938;FLUAV NA gene Islt-Seq;Na;100
87716-7;110787;FLUAV NA gene Islt-Seq;P Na;67
87716-7;110807;FLUAV NA gene Islt-Seq;P Na;67
60023-9;108720;LDH CSF P to L-cCnc;P CSF Doku;67
27860-6;108157;Insulin 2h p 75 g Glc PO SerPl-aCnc;Insulin ja;82
27860-6;108158;Insulin 2h p 75 g Glc PO SerPl-aCnc;Insulin nein;74
29554-3;101642;Procedure;Proc;62
29554-3;102093;Procedure;ILAPressure;60
2005-7;102721;Calcium p 12h fast 2h Ur-sRate;Calcium;100
2005-7;102743;Calcium p 12h fast 2h Ur-sRate;Calcium;100
2005-7;103054;Calcium p 12h fast 2h Ur-sRate;Calcium;100
2005-7;107934;Calcium p 12h fast 2h Ur-sRate;P ADS MS ADS Calcium postFilter;60
2005-7;107935;Calcium p 12h fast 2h Ur-sRate;P ADS MS ADS Calcium preFilter;64
13944-4;100091;LAP WBC Cont Micro-cCnc;LAP;100
5902-2;110854;Prothrombin time;P RTX Time;62
47383-5;104260;ANA Ser Ql IA;Servoi Nava Pegel;60
96827-1;101947;CNS Score SOFA;Score TISS28;62
96827-1;101973;CNS Score SOFA;Score SAPS2;64
96827-1;101992;CNS Score SOFA;Score SOFA;100
96827-1;102764;CNS Score SOFA;Score ARDS;67
96827-1;102771;CNS Score SOFA;Score TISS10;62
96827-1;102784;CNS Score SOFA;Score RASS;67
96827-1;102785;CNS Score SOFA;Score AIS;71
96827-1;102788;CNS Score SOFA;Score Apgar;62
96827-1;102791;CNS Score SOFA;Score BPS;71
96827-1;102792;CNS Score SOFA;Score CIWA;67
96827-1;102794;CNS Score SOFA;Score ComfortSkala;62
96827-1;102795;CNS Score SOFA;Score CRIB;67
96827-1;102796;CNS Score SOFA;Score DRS;71
96827-1;102798;CNS Score SOFA;Score GDS;71
96827-1;102800;CNS Score SOFA;Score Kuss;67
96827-1;102801;CNS Score SOFA;Score MAAS;67
96827-1;102802;CNS Score SOFA;Score MMS;71
96827-1;102803;CNS Score SOFA;Score MOF;71
96827-1;102804;CNS Score SOFA;Score mRS;71
96827-1;102806;CNS Score SOFA;Score NIHSS;72
96827-1;102807;CNS Score SOFA;Score NIPS;67
96827-1;102808;CNS Score SOFA;Score NORTON;62
96827-1;102810;CNS Score SOFA;Score RSS;71
96827-1;102811;CNS Score SOFA;Score RTS;71
96827-1;102812;CNS Score SOFA;Score SAS;71
96827-1;102813;CNS Score SOFA;Score Lachs;64
96827-1;102815;CNS Score SOFA;Score VICS;67
96827-1;103444;CNS Score SOFA;Score DGAI;67
96827-1;103458;CNS Score SOFA;Score DGAI;67
96827-1;103506;CNS Score SOFA;Score DGAI;67
96827-1;103507;CNS Score SOFA;Score DGAI;67
96827-1;103509;CNS Score SOFA;Score DGAI;67
96827-1;103510;CNS Score SOFA;Score DGAI;67
96827-1;103511;CNS Score SOFA;Score DGAI;67
96827-1;103512;CNS Score SOFA;Score DGAI;67
96827-1;103518;CNS Score SOFA;Score DGAI;67
96827-1;103523;CNS Score SOFA;Score DGAI;67
96827-1;103527;CNS Score SOFA;Score DGAI;67
96827-1;103536;CNS Score SOFA;Score DGAI;67
96827-1;103538;CNS Score SOFA;Score DGAI;67
96827-1;103540;CNS Score SOFA;Score DGAI;67
