96766-1;117164;GISAID sequence accession-Nummer;P Doku nummer;63
2481-0;108675;Insulin Antikörper Serum;P Antikoerper Mutter;60
33455-7;107787;Aussehen Sputum;Doku Aussehen Dialysat;70
5161-5;108675;Erythrozyt Antikörper Serum;P Antikoerper Mutter;61
54393-4;108510;Glucose Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
25665-1;108510;Glucose Serum Plasma Stunde Stimulation;Atmung Stimulation;76
188-3;107861;Clarithromycin minimaler letaler Konzentration (MLK);O2 Konzentration;90
188-3;107864;Clarithromycin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
188-3;107867;Clarithromycin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
15075-5;102106;Glucose Dialysat;Dialysatfluß;74
15075-5;102114;Glucose Dialysat;Mess Dialysatfluß;69
15075-5;102631;Glucose Dialysat;Mess Dialysatvolumen;61
15075-5;102690;Glucose Dialysat;Dialysatloesung;71
15075-5;102755;Glucose Dialysat;Dialysat;100
15075-5;102897;Glucose Dialysat;Dialysatfiltrate;62
15075-5;103042;Glucose Dialysat;Dialysatlösung;69
15075-5;103043;Glucose Dialysat;Dialysat;100
15075-5;103045;Glucose Dialysat;BM25 Dialysat;76
15075-5;103095;Glucose Dialysat;Doku Dialysatlösung;65
15075-5;103123;Glucose Dialysat;Dialysat;100
15075-5;103124;Glucose Dialysat;BM25 Dialysat;76
15075-5;104978;Glucose Dialysat;CRRT Dialysat;76
15075-5;104999;Glucose Dialysat;CRRT Dialysat;76
15075-5;105009;Glucose Dialysat;CRRT Dialysatloesung;61
15075-5;107787;Glucose Dialysat;Doku Aussehen Dialysat;67
15075-5;107790;Glucose Dialysat;Doku Dialysat1;67
15075-5;107791;Glucose Dialysat;Doku Dialysat2;67
15075-5;107802;Glucose Dialysat;Dialysat1;64
15075-5;107803;Glucose Dialysat;Dialysat2;64
2956-1;102596;Natrium -Stunden-Urin;Natrium;100
2956-1;102638;Natrium -Stunden-Urin;Mess Natrium;74
2956-1;102676;Natrium -Stunden-Urin;Natrium;100
2956-1;103167;Natrium -Stunden-Urin;MS Natrium;82
2956-1;103226;Natrium -Stunden-Urin;Natrium;100
2956-1;103242;Natrium -Stunden-Urin;Natrium;100
326-9;107861;Metronidazol minimaler letaler Konzentration (MLK);O2 Konzentration;90
326-9;107864;Metronidazol minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
326-9;107867;Metronidazol minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
47275-3;102721;S100 Calcium-bindendes ProteinSerum;Calcium;100
47275-3;102743;S100 Calcium-bindendes ProteinSerum;Calcium;100
47275-3;103054;S100 Calcium-bindendes ProteinSerum;Calcium;100
2472-9;103069;IgM Serum Plasma;ADM Plasmavolumen;61
2472-9;103085;IgM Serum Plasma;ADM Plasmavolumen;61
2110-5;106665;Choriongonadotropin.beta-Untereinheit (Schwangerschaftstest) Serum Plasma;Schwangerschaftstest durchgefuehrt;74
2705-2;100808;Sauerstoff venösem Blut;Sauerstoff;100
2705-2;101481;Sauerstoff venösem Blut;Sauerstoff;100
2705-2;102942;Sauerstoff venösem Blut;G5 Sauerstoff;87
2705-2;104804;Sauerstoff venösem Blut;MS C2 Sauerstoff;77
2705-2;104808;Sauerstoff venösem Blut;C2 Sauerstoff;87
2705-2;105103;Sauerstoff venösem Blut;Sauerstoff RespirationBarValue;62
2705-2;106641;Sauerstoff venösem Blut;T1 Sauerstoff;87
2705-2;107811;Sauerstoff venösem Blut;Sauerstoff;100
2705-2;107980;Sauerstoff venösem Blut;P C3 Sauerstoff;80
2705-2;108012;Sauerstoff venösem Blut;P MS C3 Sauerstoff;71
2705-2;110866;Sauerstoff venösem Blut;Heimbeatmung Sauerstoff;62
25569-5;108510;C-Peptid Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
17486-2;108510;Progesteron Serum Plasma Stunden Stimulation;Atmung Stimulation;76
27088-4;101383;Folat Blut;BlutflussMax;64
27088-4;102102;Folat Blut;Blutfluss;63
27088-4;102496;Folat Blut;BlutflussMax;64
27088-4;102499;Folat Blut;BlutflussMax;64
27088-4;102937;Folat Blut;BlutflussMax;64
27088-4;102976;Folat Blut;Blutfluss;63
27088-4;103152;Folat Blut;Blutfluss;63
27088-4;103180;Folat Blut;Blutfluss;63
27088-4;103220;Folat Blut;Blutfluss;63
27088-4;103238;Folat Blut;BlutflussMax;64
27088-4;104888;Folat Blut;Blutfluss;63
27088-4;104907;Folat Blut;Blutfluss;63
27088-4;104930;Folat Blut;BlutflussMax;64
27088-4;104943;Folat Blut;Blutfluss Max;61
27088-4;106339;Folat Blut;Blutfluss;63
27088-4;106381;Folat Blut;Blutfluss;63
23557-2;102128;Vesikuläre-Stomatitis-Virus Antigen Haut Immunoassay;Kopf Haut;62
23557-2;102142;Vesikuläre-Stomatitis-Virus Antigen Haut Immunoassay;Haut;100
9425-0;108243;Aceton Blut;Geburt an;60
32246-1;102699;Histidin Körperflüssigkeit;Dialysierfluessigke;60
32326-1;108510;Lutropin Serum Plasma Minuten Stimulation;Atmung Stimulation;76
25679-2;108510;Glucose Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
27883-8;108510;Lutropin Serum Plasma Minuten Stimulation;Atmung Stimulation;76
40083-8;102721;Calcium Serum Plasma Tag Stimulation;Calcium;100
40083-8;102743;Calcium Serum Plasma Tag Stimulation;Calcium;100
40083-8;103054;Calcium Serum Plasma Tag Stimulation;Calcium;100
40083-8;108510;Calcium Serum Plasma Tag Stimulation;Atmung Stimulation;76
20865-2;102140;Jod Leber;Abdomen Leber;71
22741-3;110914;Serin Probenmaterial;Servoi Pkontrol;63
3432-2;104833;Carbamazepin Serum Plasma;Apherese Plasma;60
3432-2;104834;Carbamazepin Serum Plasma;Apherese Plasma;60
3432-2;104846;Carbamazepin Serum Plasma;Apherese Plasma;60
25656-0;108510;Gastrin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
8013-5;108675;Röteln-Virus Antikörper Serum;P Antikoerper Mutter;60
1524-8;108157;Glucose Serum Plasma Minuten ,1 U/kg Insulin;Insulin ja;82
1524-8;108158;Glucose Serum Plasma Minuten ,1 U/kg Insulin;Insulin nein;74
43223-7;102596;Natrium/Creatinin Urin;Natrium;100
43223-7;102638;Natrium/Creatinin Urin;Mess Natrium;74
43223-7;102676;Natrium/Creatinin Urin;Natrium;100
43223-7;103167;Natrium/Creatinin Urin;MS Natrium;82
43223-7;103226;Natrium/Creatinin Urin;Natrium;100
43223-7;103242;Natrium/Creatinin Urin;Natrium;100
32374-1;104791;Cefotiam;MS C2 fTotal;60
33882-2;104329;Probennahme-Datum Probenmaterials;Datum;100
18972-0;100800;Polymyxin;O2Lmin;67
18972-0;101443;Polymyxin;Pmin;62
25575-2;108510;C-Peptid Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
2387-9;104833;Glycerol Serum Plasma;Apherese Plasma;61
2387-9;104834;Glycerol Serum Plasma;Apherese Plasma;61
2387-9;104846;Glycerol Serum Plasma;Apherese Plasma;61
4484-2;104816;Komplement C2 Serum Plasma;C2;100
4484-2;104822;Komplement C2 Serum Plasma;C2;100
4484-2;104823;Komplement C2 Serum Plasma;C2;100
4484-2;106283;Komplement C2 Serum Plasma;C2;100
73561-3;108157;Insulin- WachstumsfaktorSerum Plasma;Insulin ja;82
73561-3;108158;Insulin- WachstumsfaktorSerum Plasma;Insulin nein;74
16906-0;108510;Glucose Urin . Probenmaterial Stimulation;Atmung Stimulation;76
25690-9;108157;Insulin Serum Plasma . Probenmaterial Stimulation;Insulin ja;82
25690-9;108158;Insulin Serum Plasma . Probenmaterial Stimulation;Insulin nein;74
25690-9;108510;Insulin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
17484-7;108510;Progesteron Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
1424-1;108157;Cortisol Serum Plasma Minuten Dosis Insulin intravenös;Insulin ja;82
1424-1;108158;Cortisol Serum Plasma Minuten Dosis Insulin intravenös;Insulin nein;74
34938-1;102114;Phosphat Dialysat;Mess Dialysatfluß;61
34938-1;102690;Phosphat Dialysat;Dialysatloesung;62
34938-1;102755;Phosphat Dialysat;Dialysat;100
34938-1;102897;Phosphat Dialysat;Dialysatfiltrate;61
34938-1;103042;Phosphat Dialysat;Dialysatlösung;60
34938-1;103043;Phosphat Dialysat;Dialysat;100
34938-1;103045;Phosphat Dialysat;BM25 Dialysat;76
34938-1;103123;Phosphat Dialysat;Dialysat;100
34938-1;103124;Phosphat Dialysat;BM25 Dialysat;76
34938-1;104978;Phosphat Dialysat;CRRT Dialysat;76
34938-1;104999;Phosphat Dialysat;CRRT Dialysat;76
34938-1;107787;Phosphat Dialysat;Doku Aussehen Dialysat;64
34938-1;107790;Phosphat Dialysat;Doku Dialysat1;65
34938-1;107791;Phosphat Dialysat;Doku Dialysat2;65
34938-1;107802;Phosphat Dialysat;Dialysat1;62
34938-1;107803;Phosphat Dialysat;Dialysat2;62
56578-8;108510;Aldosteron Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
25760-0;108157;Insulin- Wachstumsfaktor Serum Plasma . Probenmaterial Stimulation;Insulin ja;82
25760-0;108158;Insulin- Wachstumsfaktor Serum Plasma . Probenmaterial Stimulation;Insulin nein;74
25760-0;108510;Insulin- Wachstumsfaktor Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
34157-8;103707;Antikörper Serum Plasma;Antikoerper;61
34157-8;104679;Antikörper Serum Plasma;Antikoerper;61
34157-8;104833;Antikörper Serum Plasma;Apherese Plasma;70
34157-8;104834;Antikörper Serum Plasma;Apherese Plasma;70
34157-8;104846;Antikörper Serum Plasma;Apherese Plasma;70
34157-8;108675;Antikörper Serum Plasma;P Antikoerper Mutter;62
52753-1;100203;Prothrombinzeit (PT) PIVKA insensitiv /normal thrombozytenarmem Plasma Gerinnungstest;PT;100
52753-1;100676;Prothrombinzeit (PT) PIVKA insensitiv /normal thrombozytenarmem Plasma Gerinnungstest;PT;100
55805-6;103433;Cyclosporin Blut LC/MS/MS;MS i;67
55805-6;107839;Cyclosporin Blut LC/MS/MS;MS i;67
55805-6;110780;Cyclosporin Blut LC/MS/MS;P MS;67
12718-3;108510;17-Hydroxyprogesteron Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
51497-6;108510;Estradiol (E2) Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
56593-7;108510;Follitropin Serum Plasma Stunden Stimulation;Atmung Stimulation;76
2884-5;104324;Protein Sperma;Prothese;64
2884-5;104332;Protein Sperma;Prothese;64
2884-5;105092;Protein Sperma;Prothese;64
2884-5;105095;Protein Sperma;Prothese;64
12831-4;108510;Prolaktin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
54267-0;108157;Glucose Serum Plasma ,5 Stunden Dosis Insulin intravenös;Insulin ja;82
54267-0;108158;Glucose Serum Plasma ,5 Stunden Dosis Insulin intravenös;Insulin nein;74
91560-3;104329;Datum Abreise Reiseziel;Datum;100
91560-3;104847;Datum Abreise Reiseziel;Apherese Spuel Dauer;60
57364-2;108510;Lactat Serum Plasma Stunde Stimulation;Atmung Stimulation;76
29293-8;102102;Leucin Blut;Blutfluss;60
29293-8;102976;Leucin Blut;Blutfluss;60
29293-8;103152;Leucin Blut;Blutfluss;60
29293-8;103180;Leucin Blut;Blutfluss;60
29293-8;103220;Leucin Blut;Blutfluss;60
29293-8;104888;Leucin Blut;Blutfluss;60
29293-8;104907;Leucin Blut;Blutfluss;60
29293-8;106339;Leucin Blut;Blutfluss;60
29293-8;106381;Leucin Blut;Blutfluss;60
13896-6;108157;Insulin- WachstumsfaktorBlut;Insulin ja;82
13896-6;108158;Insulin- WachstumsfaktorBlut;Insulin nein;74
5748-9;102581;Zinn Serum Plasma;Plasmavolumen;60
5748-9;103063;Zinn Serum Plasma;Plasmavolumen;60
5748-9;103065;Zinn Serum Plasma;Plasmavolumen;60
5748-9;103143;Zinn Serum Plasma;Plasmaloesung;60
2453-9;103692;Hypoxanthin Serum;Hypothermie;64
53519-5;102755;Monozyten/100 Leukozyten Dialysat;Dialysat;100
53519-5;103043;Monozyten/100 Leukozyten Dialysat;Dialysat;100
53519-5;103045;Monozyten/100 Leukozyten Dialysat;BM25 Dialysat;76
53519-5;103123;Monozyten/100 Leukozyten Dialysat;Dialysat;100
53519-5;103124;Monozyten/100 Leukozyten Dialysat;BM25 Dialysat;76
53519-5;104978;Monozyten/100 Leukozyten Dialysat;CRRT Dialysat;76
53519-5;104999;Monozyten/100 Leukozyten Dialysat;CRRT Dialysat;76
25323-7;104826;Arsen Serum Plasma;Apherese MS PlasmaVolKum;62
25323-7;104833;Arsen Serum Plasma;Apherese Plasma;73
25323-7;104834;Arsen Serum Plasma;Apherese Plasma;73
25323-7;104846;Arsen Serum Plasma;Apherese Plasma;73
25323-7;104852;Arsen Serum Plasma;Apherese Plasmaloesung;65
25323-7;106400;Arsen Serum Plasma;Apherese MS PlasmaVolKum;62
21112-8;4;Geburtsdatum;Geburtsdatum;100
21112-8;14;Geburtsdatum;Geburtsgewicht;62
21112-8;108151;Geburtsdatum;Mutter Geburtsdatum;100
21112-8;108277;Geburtsdatum;Geburtslage text;64
21112-8;110769;Geburtsdatum;Geburtslage;70
73589-4;103750;Rifaximin;Reanimation;60
32240-4;108281;Fructose Urin;Fruchtwasser;64
32240-4;108282;Fructose Urin;Fruchtwasser klar;60
56979-8;102596;Natrium Speichel;Natrium;100
56979-8;102638;Natrium Speichel;Mess Natrium;74
56979-8;102660;Natrium Speichel;NatriumProfil;69
56979-8;102669;Natrium Speichel;Mess esNatrium;60
56979-8;102676;Natrium Speichel;Natrium;100
56979-8;102680;Natrium Speichel;NatriumProfil;69
56979-8;103167;Natrium Speichel;MS Natrium;82
56979-8;103226;Natrium Speichel;Natrium;100
56979-8;103228;Natrium Speichel;NatriumProfil;69
56979-8;103242;Natrium Speichel;Natrium;100
33819-4;108157;Insulin Serum Plasma . Probenmaterial Stimulation;Insulin ja;82
33819-4;108158;Insulin Serum Plasma . Probenmaterial Stimulation;Insulin nein;74
33819-4;108510;Insulin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
12757-1;108157;Insulin Serum Plasma Minuten Stimulation;Insulin ja;82
12757-1;108158;Insulin Serum Plasma Minuten Stimulation;Insulin nein;74
12757-1;108510;Insulin Serum Plasma Minuten Stimulation;Atmung Stimulation;76
80391-6;670;Pflegegrad;Pflege;75
80391-6;100199;Pflegegrad;Pflege;75
80391-6;104340;Pflegegrad;Pflegekraft;76
40431-9;104751;Osmotische Resistenz Erythrozyten aus Kontrolle --frisch;Kontrolle Laufraten;64
57668-6;108157;Insulin- Wachstumsfaktor Bindungsprotein Serum Plasma Minuten Stimulation;Insulin ja;82
57668-6;108158;Insulin- Wachstumsfaktor Bindungsprotein Serum Plasma Minuten Stimulation;Insulin nein;74
57668-6;108510;Insulin- Wachstumsfaktor Bindungsprotein Serum Plasma Minuten Stimulation;Atmung Stimulation;76
382-2;107861;Oxacillin minimaler letaler Konzentration (MLK);O2 Konzentration;90
382-2;107864;Oxacillin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
382-2;107867;Oxacillin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
40129-9;108510;Creatinin Urin -- Stimulation;Atmung Stimulation;76
11065-0;104913;Harnstoff-Stickstoff Serum Plasma -- Dialyse;Dialyse Zeit;74
11065-0;110802;Harnstoff-Stickstoff Serum Plasma -- Dialyse;P Dialyse Zeit;67
11065-0;110818;Harnstoff-Stickstoff Serum Plasma -- Dialyse;P Dialyse Zeit;67
40151-3;108510;Glucose Serum Plasma Minuten Stimulation;Atmung Stimulation;76
1761-6;104833;Aldolase Serum Plasma;Apherese Plasma;61
1761-6;104834;Aldolase Serum Plasma;Apherese Plasma;61
1761-6;104846;Aldolase Serum Plasma;Apherese Plasma;61
39564-0;108510;Corticotropin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
27873-9;108157;Insulin Serum Plasma -- Nahrungskarenz;Insulin ja;82
27873-9;108158;Insulin Serum Plasma -- Nahrungskarenz;Insulin nein;74
1627-9;108157;Somatotropin Serum Plasma ,5 Stunden Dosis Insulin intravenös;Insulin ja;82
1627-9;108158;Somatotropin Serum Plasma ,5 Stunden Dosis Insulin intravenös;Insulin nein;74
50721-0;108510;11-Desoxycortisol Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
12639-1;108510;Glucose Serum Plasma Minuten Stimulation;Atmung Stimulation;76
310-3;107861;Lymecyclin minimaler letaler Konzentration (MLK);O2 Konzentration;90
310-3;107864;Lymecyclin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
310-3;107867;Lymecyclin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
14864-3;100808;Sauerstoff Nabelschnurblut;Sauerstoff;100
14864-3;101481;Sauerstoff Nabelschnurblut;Sauerstoff;100
14864-3;102942;Sauerstoff Nabelschnurblut;G5 Sauerstoff;87
14864-3;104804;Sauerstoff Nabelschnurblut;MS C2 Sauerstoff;77
14864-3;104808;Sauerstoff Nabelschnurblut;C2 Sauerstoff;87
14864-3;105103;Sauerstoff Nabelschnurblut;Sauerstoff RespirationBarValue;61
14864-3;106641;Sauerstoff Nabelschnurblut;T1 Sauerstoff;87
14864-3;107811;Sauerstoff Nabelschnurblut;Sauerstoff;100
14864-3;107980;Sauerstoff Nabelschnurblut;P C3 Sauerstoff;80
14864-3;108012;Sauerstoff Nabelschnurblut;P MS C3 Sauerstoff;71
14864-3;110866;Sauerstoff Nabelschnurblut;Heimbeatmung Sauerstoff;61
9822-8;102755;Bakterien identifiziert Dialysat Kultur;Dialysat;100
9822-8;103043;Bakterien identifiziert Dialysat Kultur;Dialysat;100
9822-8;103045;Bakterien identifiziert Dialysat Kultur;BM25 Dialysat;76
9822-8;103123;Bakterien identifiziert Dialysat Kultur;Dialysat;100
9822-8;103124;Bakterien identifiziert Dialysat Kultur;BM25 Dialysat;76
9822-8;104978;Bakterien identifiziert Dialysat Kultur;CRRT Dialysat;76
9822-8;104999;Bakterien identifiziert Dialysat Kultur;CRRT Dialysat;76
33951-5;102596;Natrium/Creatinin Urin;Natrium;100
33951-5;102638;Natrium/Creatinin Urin;Mess Natrium;74
33951-5;102676;Natrium/Creatinin Urin;Natrium;100
33951-5;103167;Natrium/Creatinin Urin;MS Natrium;82
33951-5;103226;Natrium/Creatinin Urin;Natrium;100
33951-5;103242;Natrium/Creatinin Urin;Natrium;100
12934-6;108510;Thyreotropin Serum Plasma Minuten Stimulation;Atmung Stimulation;76
12462-8;108510;Corticotropin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
66746-9;104272;Probenmaterial-Typ;Servoi Tpause Prozent;62
24461-6;104833;Fettsäuren Serum Plasma;Apherese Plasma;65
24461-6;104834;Fettsäuren Serum Plasma;Apherese Plasma;65
24461-6;104846;Fettsäuren Serum Plasma;Apherese Plasma;65
5853-7;102128;Herpes-simplex-Virus Antigen Haut Immunfluoreszenztest;Kopf Haut;62
5853-7;102142;Herpes-simplex-Virus Antigen Haut Immunfluoreszenztest;Haut;100
47181-3;108510;Progesteron Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
25943-2;108510;Lutropin Serum Plasma . International Reference Preparation . Probenmaterial Stimulation;Atmung Stimulation;76
29396-9;108510;Gastrin Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
499-4;107861;Ticarcillin minimaler letaler Konzentration (MLK);O2 Konzentration;90
499-4;107864;Ticarcillin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
499-4;107867;Ticarcillin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
3178-1;102503;Blutungszeit Duke-Methode;Dokumentation BlutflussEinst;60
18974-6;101461;Rifampicin;Familienst;60
18974-6;105026;Rifampicin;V RapidPacing;61
40356-8;102755;Creatinin -Stunden-Dialysat;Dialysat;100
40356-8;103043;Creatinin -Stunden-Dialysat;Dialysat;100
40356-8;103045;Creatinin -Stunden-Dialysat;BM25 Dialysat;76
40356-8;103123;Creatinin -Stunden-Dialysat;Dialysat;100
40356-8;103124;Creatinin -Stunden-Dialysat;BM25 Dialysat;76
40356-8;104978;Creatinin -Stunden-Dialysat;CRRT Dialysat;76
40356-8;104988;Creatinin -Stunden-Dialysat;CRRT Doku Dialysatloesung;63
40356-8;104999;Creatinin -Stunden-Dialysat;CRRT Dialysat;76
40356-8;105009;Creatinin -Stunden-Dialysat;CRRT Dialysatloesung;65
12945-2;108510;Thyreotropin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
75940-7;101383;Kalium Blut;BlutflussMax;61
75940-7;102102;Kalium Blut;Blutfluss;60
75940-7;102496;Kalium Blut;BlutflussMax;61
75940-7;102499;Kalium Blut;BlutflussMax;61
75940-7;102937;Kalium Blut;BlutflussMax;61
75940-7;102976;Kalium Blut;Blutfluss;60
75940-7;103152;Kalium Blut;Blutfluss;60
75940-7;103180;Kalium Blut;Blutfluss;60
75940-7;103220;Kalium Blut;Blutfluss;60
75940-7;103238;Kalium Blut;BlutflussMax;61
75940-7;103335;Kalium Blut;ZielKalium;67
75940-7;104888;Kalium Blut;Blutfluss;60
75940-7;104907;Kalium Blut;Blutfluss;60
75940-7;104930;Kalium Blut;BlutflussMax;61
75940-7;106332;Kalium Blut;MS Blutfluss;61
75940-7;106339;Kalium Blut;Blutfluss;60
75940-7;106378;Kalium Blut;MS Blutfluss;61
75940-7;106381;Kalium Blut;Blutfluss;60
1863-0;104833;Anionenlücke Serum Plasma;Apherese Plasma;62
1863-0;104834;Anionenlücke Serum Plasma;Apherese Plasma;62
1863-0;104846;Anionenlücke Serum Plasma;Apherese Plasma;62
3579-0;103145;Doxepin Serum Plasma;Doku Plasmalösung;61
18868-0;117170;Aztreonam;Datennahme;63
33928-3;104833;Efavirenz Serum Plasma;Apherese Plasma;65
33928-3;104834;Efavirenz Serum Plasma;Apherese Plasma;65
33928-3;104846;Efavirenz Serum Plasma;Apherese Plasma;65
18234-5;108157;Insulin Substanz;Insulin ja;82
18234-5;108158;Insulin Substanz;Insulin nein;74
33771-7;103707;Pl-12 Antikörper Serum;Antikoerper;62
33771-7;104679;Pl-12 Antikörper Serum;Antikoerper;62
47596-2;102721;Calcium.ionisiert Blut ionenselektiver Membranelektrode (ISE);Calcium;100
47596-2;102743;Calcium.ionisiert Blut ionenselektiver Membranelektrode (ISE);Calcium;100
47596-2;103054;Calcium.ionisiert Blut ionenselektiver Membranelektrode (ISE);Calcium;100
18219-6;108510;Adrenalin Urin . Probenmaterial Stimulation;Atmung Stimulation;76
3827-3;104833;Morphium Serum Plasma;Apherese Plasma;61
3827-3;104834;Morphium Serum Plasma;Apherese Plasma;61
3827-3;104846;Morphium Serum Plasma;Apherese Plasma;61
25736-0;108510;Prolaktin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
25447-4;108157;Insulin frei Serum Plasma;Insulin ja;82
25447-4;108158;Insulin frei Serum Plasma;Insulin nein;74
54024-5;108675;SP100 Antikörper Serum;P Antikoerper Mutter;68
100059-5;103598;Rifapentin;Infektion;63
2756-5;102038;pH Urin;p-SVRI;62
204-8;107861;Colistin minimaler letaler Konzentration (MLK);O2 Konzentration;90
204-8;107864;Colistin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
204-8;107867;Colistin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
5734-9;104833;Silber Serum Plasma;Apherese Plasma;65
5734-9;104834;Silber Serum Plasma;Apherese Plasma;65
5734-9;104846;Silber Serum Plasma;Apherese Plasma;65
17085-2;104833;Lipoproteine Serum Plasma;Apherese Plasma;60
17085-2;104834;Lipoproteine Serum Plasma;Apherese Plasma;60
17085-2;104846;Lipoproteine Serum Plasma;Apherese Plasma;60
86502-2;100999;Varicella-Zoster-Virus-Stamm DNA Probenmaterial Nukleinsäureamplifikation Sondendetektion;Stamm;100
51492-7;108510;Cortisol Speichel . Probenmaterial Stimulation;Atmung Stimulation;76
30930-2;106365;Zink Urin gesammelt Zeitraum;G5 SBT Zeitraum;70
30930-2;106366;Zink Urin gesammelt Zeitraum;G5 SBT Zeitraum;70
30930-2;110899;Zink Urin gesammelt Zeitraum;P C3 SBT Zeitraum;64
30930-2;110900;Zink Urin gesammelt Zeitraum;P C3 SBT Zeitraum;64
8289-1;11;Kopfumfang okzipital-frontal Perzentil;Kopfumfang;100
8289-1;101763;Kopfumfang okzipital-frontal Perzentil;Kopfumfang;100
8289-1;108252;Kopfumfang okzipital-frontal Perzentil;Kopfumfang;100
8289-1;108502;Kopfumfang okzipital-frontal Perzentil;Kopfumfang bit;83
19994-3;100808;Sauerstoff/Gesamtgas-Einstellung Beatmungsgeräts;Sauerstoff;100
19994-3;101481;Sauerstoff/Gesamtgas-Einstellung Beatmungsgeräts;Sauerstoff;100
19994-3;102942;Sauerstoff/Gesamtgas-Einstellung Beatmungsgeräts;G5 Sauerstoff;87
19994-3;104804;Sauerstoff/Gesamtgas-Einstellung Beatmungsgeräts;MS C2 Sauerstoff;77
19994-3;104808;Sauerstoff/Gesamtgas-Einstellung Beatmungsgeräts;C2 Sauerstoff;87
19994-3;106641;Sauerstoff/Gesamtgas-Einstellung Beatmungsgeräts;T1 Sauerstoff;87
19994-3;107811;Sauerstoff/Gesamtgas-Einstellung Beatmungsgeräts;Sauerstoff;100
19994-3;107980;Sauerstoff/Gesamtgas-Einstellung Beatmungsgeräts;P C3 Sauerstoff;80
19994-3;108012;Sauerstoff/Gesamtgas-Einstellung Beatmungsgeräts;P MS C3 Sauerstoff;71
19994-3;110866;Sauerstoff/Gesamtgas-Einstellung Beatmungsgeräts;Heimbeatmung Sauerstoff;61
53432-1;102755;Gamma-Glutamyl-Transferase Dialysat;Dialysat;100
53432-1;103043;Gamma-Glutamyl-Transferase Dialysat;Dialysat;100
53432-1;103045;Gamma-Glutamyl-Transferase Dialysat;BM25 Dialysat;76
53432-1;103123;Gamma-Glutamyl-Transferase Dialysat;Dialysat;100
53432-1;103124;Gamma-Glutamyl-Transferase Dialysat;BM25 Dialysat;76
53432-1;104978;Gamma-Glutamyl-Transferase Dialysat;CRRT Dialysat;76
53432-1;104999;Gamma-Glutamyl-Transferase Dialysat;CRRT Dialysat;76
3968-5;104833;Phenytoin Serum Plasma;Apherese Plasma;65
3968-5;104834;Phenytoin Serum Plasma;Apherese Plasma;65
3968-5;104846;Phenytoin Serum Plasma;Apherese Plasma;65
18912-6;100261;Colistin;Leistung;62
18912-6;100294;Colistin;Leistung;62
18912-6;103212;Colistin;Leistung;62
14772-8;103145;Gold Serum Plasma;Doku Plasmalösung;61
25506-7;101389;Kalium Stuhl;KaliumZiel;64
25506-7;102481;Kalium Stuhl;KaliumZiel;64
25506-7;102482;Kalium Stuhl;KaliumZiel;64
21582-2;104273;Tryptase Serum Plasma;Servoi Tpause s;61
21582-2;104833;Tryptase Serum Plasma;Apherese Plasma;61
21582-2;104834;Tryptase Serum Plasma;Apherese Plasma;61
21582-2;104846;Tryptase Serum Plasma;Apherese Plasma;61
11572-5;104833;Rheumafaktor Serum Plasma;Apherese Plasma;60
11572-5;104834;Rheumafaktor Serum Plasma;Apherese Plasma;60
11572-5;104846;Rheumafaktor Serum Plasma;Apherese Plasma;60
21612-7;6;- Berichtet;Gewicht;62
21612-7;105031;- Berichtet;Betriebsart;60
21612-7;105035;- Berichtet;Betriebsart;60
21612-7;106739;- Berichtet;CO Bericht;74
495-2;107861;Tetracyclin minimaler letaler Konzentration (MLK);O2 Konzentration;90
495-2;107864;Tetracyclin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
