9271-8	10M Apgar Score
20994-0	HCG SerPl-Imp
34670-0	HCG SerPl-mCnc
2119-6	HCG SerPl-sCnc
10565-0	HCG Smn-aCnc
25372-4	HCG Ur-aCnc
1960-4	HCO3 BldA-sCnc
14151-5	HCO3 BldCo-sCnc
1961-2	HCO3 BldC-sCnc
19229-4	HCO3 BldMV-sCnc
1959-6	HCO3 Bld-sCnc
14627-4	HCO3 BldV-sCnc
12514-6	HCO3 Dial fld-sCnc
16459-0	HCO3 Fld-sCnc
1963-8	HCO3 SerPl-sCnc
19230-2	HCO3 std BldA-sCnc
19232-8	HCO3 std BldV-sCnc
1964-6	HCO3 Ur-sCnc
92146-0	HCoV 229E+NL63 RNA Resp Ql NAA+probe
82163-7	HCoV 229E RNA Nph Ql NAA+non-probe
88610-1	HCoV 229E RNA Upper resp Ql NAA+probe
92147-8	HCoV HKU1+OC43 RNA Resp Ql NAA+probe
82161-1	HCoV HKU1 RNA Nph Ql NAA+non-probe
88604-4	HCoV HKU1 RNA Upper resp Ql NAA+probe
82162-9	HCoV NL63 RNA Nph Ql NAA+non-probe
88618-4	HCoV NL63 RNA Upper resp Ql NAA+probe
82164-5	HCoV OC43 RNA Nph Ql NAA+non-probe
88626-7	HCoV OC43 RNA Upper resp Ql NAA+probe
20570-8	Hct VFr Bld
32354-3	Hct VFr BldA
4544-3	Hct VFr Bld Auto
42908-4	Hct VFr BldC
11151-8	Hct VFr BldCo
11271-4	Hct VFr BldCo Auto
48703-3	Hct VFr Bld Est
31100-1	Hct VFr Bld Imped
41655-2	Hct VFr BldMV
4545-0	Hct VFr Bld Spun
41654-5	Hct VFr BldV
71833-8	Hct VFr.DF Bld Auto
11153-4	Hct VFr Fld
22324-8	HCV100-3 Ab Ser Ql
9608-1	HCV100-3 Ab Ser Ql IB
22325-5	HCV22-3 Ab Ser Ql
9609-9	HCV22-3 Ab Ser Ql IB
22326-3	HCV5-1-1 Ab Ser Ql
11076-7	HCV5-1-1 Ab Ser Ql IB
42506-6	HCV Ab CSF Ql
51657-5	HCV Ab Fld Ql
39008-8	HCV Ab Fld Ql IB
24011-9	HCV Ab Patrn Ser IB-Imp
51656-7	HCV Ab s/co Fld
48159-8	HCV Ab s/co SerPl IA
22327-1	HCV Ab Ser-aCnc
47441-1	HCV Ab Ser Donr Ql
47365-2	HCV Ab Ser Donr Ql IA
5198-7	HCV Ab Ser IA-aCnc
72376-7	HCV Ab SerPlBld Ql IA.rapid
95237-4	HCV Ab SerPl-Imp
13955-0	HCV Ab SerPl Ql IA
16128-1	HCV Ab Ser Ql
5199-5	HCV Ab Ser Ql IB
51649-2	HCV c100p+5-1-1 Ab Ser Ql IB
56926-9	HCV c1 Ab Ser Ql IB
44813-4	HCV C22p Ab Ser Ql IB
56927-7	HCV c2 Ab Ser Ql IB
22329-7	HCV C33c Ab Ser Ql
9610-7	HCV C33c Ab Ser Ql IB
49846-9	HCV core Ag Bld/Mar Donr Ql
54914-7	HCV core Ag Ser IA-aCnc
79189-7	HCV core Ag SerPl Ql IA
56928-5	HCV E2 Ab Ser Ql IB
82381-5	HCV Genotyp 1 NS5b Mut Det Islt
82380-7	HCV Gentyp 1 NS5a Mut Det Islt
82512-5	HCV Gentyp 1 SerPl NAA+probe
82514-1	HCV Gentyp 3 NS5a Mut Det Islt
82513-3	HCV Gentyp 3 SerPl Ql NAA+probe
48574-8	HCV Gentyp Bld NAA+probe
32286-7	HCV Gentyp SerPl NAA+probe
92731-9	HCV Gentyp SerPl Seq
48575-5	HCV Gentyp Spec NAA+probe
49607-5	HCV Gentyp Tiss NAA+probe
34162-8	HCV IgG Patrn Ser IB-Imp
16936-7	HCV IgG Ser-aCnc
57006-9	HCV IgG Ser IA-aCnc
89359-4	HCV IgG SerPlBld Ql IA.rapid
40726-2	HCV IgG SerPl Ql IA
16129-9	HCV IgG Ser Ql
33462-3	HCV IgG Ser Ql IB
53376-0	HCV IgM Ser-aCnc
51824-1	HCV IgM Ser IA-aCnc
56929-3	HCV NS3 Ab Ser Ql IB
56930-1	HCV NS4 Ab Ser Ql IB
23871-7	HCV NS5 Ab Ser Ql IB
73655-3	HCV NS5 Mut Det Islt Genotyp
5010-4	HCV RNA Bld Ql NAA+probe
49369-2	HCV RNA # CSF NAA+probe
49377-5	HCV RNA CSF NAA+probe-aCnc
49373-4	HCV RNA CSF NAA+probe-Log#
49603-4	HCV RNA CSF NAA+probe-Log IU
51655-9	HCV RNA Fld Ql NAA+probe
49370-0	HCV RNA # Mar NAA+probe
49378-3	HCV RNA Mar NAA+probe-aCnc
49374-2	HCV RNA Mar NAA+probe-Log#
49604-2	HCV RNA Mar NAA+probe-Log IU
34703-9	HCV RNA SerPl NAA DL=500-aCnc
34704-7	HCV RNA SerPl NAA DL=50-aCnc
49758-6	HCV RNA SerPl NAA DL=5-aCnc
20416-4	HCV RNA # SerPl NAA+probe
11011-4	HCV RNA SerPl NAA+probe-aCnc
47252-2	HCV RNA SerPl NAA+probe-Log#
38180-6	HCV RNA SerPl NAA+probe-Log IU
10676-5	HCV RNA SerPl Probe amp-aCnc
20571-6	HCV RNA # SerPl Probe+sig amp
29609-5	HCV RNA SerPl Probe+sig amp-aCnc
42003-4	HCV RNA SerPl Probe+sig amp-Log#
42617-1	HCV RNA SerPl Probe+sig amp-Log IU
11259-9	HCV RNA SerPl Ql NAA+probe
49380-9	HCV RNA # Spec NAA+probe
49376-7	HCV RNA Spec NAA+probe-aCnc
49372-6	HCV RNA Spec NAA+probe-Log#
49605-9	HCV RNA Spec NAA+probe-Log IU
5012-0	HCV RNA Spec Ql NAA+probe
48576-3	HCV RNA Spec Ql Probe+sig amp
49371-8	HCV RNA # Tiss NAA+probe
49379-1	HCV RNA Tiss NAA+probe-aCnc
49375-9	HCV RNA Tiss NAA+probe-Log#
49608-3	HCV RNA Tiss NAA+probe-Log IU
5011-2	HCV RNA Tiss Ql NAA+probe
22328-9	HCV SOD Ab Ser Ql
11077-5	HCV SOD Ab Ser Ql IB
6884-1	(Hcys)2 24h Ur-mRate
25441-7	(Hcys)2 24h Ur-sRate
32690-0	Hcys 24h Ur-sRate
26882-1	(Hcys)2 Amn-sCnc
56682-8	(Hcys)2/Creat 24h Ur-Rto
30051-7	(Hcys)2/Creat Ur-Rto
22707-4	(Hcys)2/Creat Ur-sRto
22660-5	(Hcys)2 CSF-sCnc
54302-5	(Hcys)2 DBS-sCnc
55879-1	(Hcys)2 Fld-sCnc
27352-4	(Hcys)2 SerPl-aCnc
20646-6	(Hcys)2 SerPl-sCnc
26999-3	(Hcys)2 Ur-sCnc
26582-7	Hcys/Creat Ur-sRto
49727-1	Hcys CSF-sCnc
44376-2	Hcys DBS Ql
2428-1	Hcys SerPl-mCnc
13965-9	Hcys SerPl-sCnc
12470-1	Hcys Ur-mCnc
32020-0	Hcys Ur-sCnc
53135-0	HDLc Dial fld-sCnc
16616-5	HDLc/LDLc SerPl
2095-8	HDLc SerPl
49130-8	HDLc SerPl Elph-mCnc
2085-9	HDLc SerPl-mCnc
14646-4	HDLc SerPl-sCnc
26822-7	HDL Fld Ql
15121-7	HDL MFr SerPl
2573-4	HDL SerPl-mCnc
17845-9	HDL SerPl Ql
70055-9	H dobrova IgG SerPl Ql IF
70054-2	H dobrova IgM SerPl Ql IF
11255-7	H ducreyi Spec Ql Cult
51654-2	HDV Ab Fld Ql
22330-5	HDV Ab Ser-aCnc
5200-1	HDV Ab Ser IA-aCnc
95238-2	HDV Ab SerPl-Imp
13248-0	HDV Ab Ser Ql
40727-0	HDV Ab Ser Ql IA
5201-9	HDV Ab Ser RIA-aCnc
44755-7	HDV Ag Ser IA-aCnc
43281-5	HDV Ag Ser-mCnc
33464-9	HDV Ag Ser Ql
44754-0	HDV Ag Ser Ql IA
43280-7	HDV Ag Ur-mCnc
72606-7	HDV Gentyp Spec NAA+probe
51458-8	HDV IgG Ser-aCnc
49775-0	HDV IgG Ser IA-aCnc
35283-1	HDV IgG Ser Ql
35273-2	HDV IgG Ser Ql IA
9525-7	HDV IgM Ser-aCnc
44826-6	HDV IgM Ser IA-aCnc
34597-5	HDV IgM Ser Ql
44938-9	HDV IgM Ser Ql IA
85512-2	HDV RNA Ser NAA+probe-aCnc
85513-0	HDV RNA Ser NAA+probe-Log IU
80426-0	HDV RNA # SerPl NAA+probe
7906-1	HDV RNA Ser Ql NAA+probe
9843-4	Head Circumf OFC
8289-1	Head Circumf OFC Prctl
57700-7	Hearing loss NBS comment/discussion
58232-0	Hearing loss risk indicators
8867-4	Heart rate
33057-1	Heinz Bod/100 RBC NFr Bld Smear
716-1	Heinz Bod Bld Ql Smear
10374-7	Helmet Cells Bld Ql Smear
42913-4	Hemoccult sp1 Spec Ql
14563-1	Hemoccult sp1 Stl Ql
57905-2	Hemoccult sp1 Stl Ql IA
56490-6	Hemoccult sp2 Stl Ql IA
56491-4	Hemoccult sp3 Stl Ql IA
27401-9	Hemoccult sp6 Stl Ql
58453-2	Hemoccult Stl IA-mCnc
27396-1	Hemoccult Stl-mCnt
2335-8	Hemoccult Stl Ql
2403-4	Hemopexin Ser-mCnc
33923-4	Hemosiderin Spec Ql
4645-8	Hemosiderin Ur-mCnc
4644-1	Hemosiderin Ur Ql
17783-2	Hemosiderin Ur Ql Micro
24086-1	Heparan-N-Sulfatase WBC-cCnt
40723-9	Heparin Ab PPP Ql Pl Agg
31159-7	Heparin Anti Xa Fld.NB-aCnc
33987-9	Heparin CF II Act/Nor PPP Chro
47285-2	Heparin CF II Ag PPP-aCnc
3268-0	Heparin CF II Ag PPP IA-mCnc
28652-6	Heparinoid PPP Chro-aCnc
24462-4	Hepta-CP 24h Ur-mRate
25923-4	Hepta-CP 24h Ur-sCnc
32179-4	Hepta-CP/Creat 24h Ur-sRto
38163-2	Hepta-CP/Creat Ur
30528-4	Hepta-CP Ur Ql
6139-0	Herring IgE Qn
15772-7	Herring IgE RAST Ql
7401-3	Herring IgG Qn
276-6	Hetacillin Islt KB
275-8	Hetacillin Islt MIC
274-1	Hetacillin Islt MLC
18931-6	Hetacillin Susc Islt
277-4	Hetacillin Titr SBT
11610-3	Heteroph Ab Ser-aCnc
31418-7	Heteroph Ab Ser Ql
5213-4	Heteroph Ab Ser Ql LA
6424-6	Heteroph Ab Titr Ser Aggl
74858-2	HEV 1+2+3+4 RNA SerPl Donr Ql NAA+probe
35680-8	HEV Ab Pnl Ser
95240-8	HEV Ab SerPl-Imp
13294-4	HEV Ab Ser Ql
60430-6	HEV Gentyp Bld NAA+probe
56513-5	HEV IgG SerPl IA-aCnc
14211-7	HEV IgG Ser Ql
51798-7	HEV IgM Ser-aCnc
83128-9	HEV IgM SerPl Ql IA
14212-5	HEV IgM Ser Ql
69577-5	HEV RNA Bld Ql NAA+probe
69961-1	HEV RNA SerPl NAA+probe-aCnc
78750-7	HEV RNA SerPl NAA+probe-Log IU
90460-7	HEV RNA SerPl Ql NAA+probe
95156-6	HEV RNA Spec Ql NAA+probe
91071-1	HEV RNA Stl Ql NAA+probe
41998-6	Hexa-CP 24h Ur-mCnc
9527-3	Hexa-CP 24h Ur-mRate
16963-1	Hexa-CP Bld-mCnc
48621-7	Hexa-CP/Creat 24h Ur-sRto
49902-0	Hexanoylgly/Creat 24h Ur-sRto
24438-4	Hexanoylgly/Creat Ur-sRto
9476-3	Hexanoylgly Ur-sCnc
12493-3	Hexobarbital SerPl-mCnc
27165-0	Hexobarbital Ur-mCnc
2409-1	Hexokinase Plas-cCnc
2410-9	Hexokinase RBC-cCnc
1956-2	Hexosaminidase A SerPl-cCnc
33657-8	Hexosaminidase A WBC-sCnc
21697-8	HFE gene Mut Tested Bld/T
21695-2	HFE p.C282Y Bld/T Ql
21696-0	HFE p.H63D Bld/T Ql
38380-2	HFE p.S65C Bld/T Ql
4547-6	Hgb A1 MFr Bld
28559-3	Hgb A2 Bld Ql
4551-8	Hgb A2 MFr Bld
4552-6	Hgb A2 MFr Bld Elph
42245-1	Hgb A2 MFr Bld HPLC
45208-6	Hgb A Bld Ql Elph
4546-8	Hgb A MFr Bld
20572-4	Hgb A MFr Bld Elph
42244-4	Hgb A MFr Bld HPLC
54072-4	Hgb A MFr DBS
30313-1	Hgb BldA-mCnc
14775-1	Hgb BldA Oximetry-mCnc
75928-2	Hgb BldA-sCnc
20509-6	Hgb Bld Calc-mCnc
30352-9	Hgb BldC-mCnc
40719-7	Hgb BldCo-mCnc
30353-7	Hgb BldCoV-mCnc
718-7	Hgb Bld-mCnc
30351-1	Hgb BldMV-mCnc
76768-1	Hgb BldMV Oximetry-mCnc
55782-7	Hgb Bld Oximetry-mCnc
717-9	Hgb Bld Ql
59260-0	Hgb Bld-sCnc
30350-3	Hgb BldV-mCnc
76769-9	Hgb BldV Oximetry-mCnc
34174-3	Hgb Casts UrnS Ql Micro
40720-5	Hgb C Bld Ql
4563-3	Hgb C MFr Bld
32681-9	Hgb C MFr Bld Elph
4561-7	Hgb C MFr Bld Elph Acid
44920-7	Hgb C MFr Bld HPLC
54073-2	Hgb C MFr DBS
719-5	Hgb CSF-mCnc
48035-0	Hgb CSF Ql
4569-0	Hgb D MFr Bld
44921-5	Hgb D MFr Bld HPLC
54070-8	Hgb D MFr DBS
40546-4	Hgb E Bld Ql Elph
4573-2	Hgb E MFr Bld Elph Acid
44922-3	Hgb E MFr Bld HPLC
54071-6	Hgb E MFr DBS
73895-5	Hgb EntSub Retic Auto
40549-8	Hgb F Bld Elph-mCnc
53857-9	Hgb F Bld-mCnc
14276-0	Hgb F Dist Bld Kleih Betke-Imp
18277-4	Hgb F Gast Ql Apt-Downey
33509-1	Hgb Fld-mCnc
33517-4	Hgb Fld Ql
18278-2	Hgb F Mec Ql Apt-Downey
4576-5	Hgb F MFr Bld
32682-7	Hgb F MFr Bld Elph
42246-9	Hgb F MFr Bld HPLC
54074-0	Hgb F MFr DBS
49323-9	Hgb Fract Bld Elph Citrate-Imp
13515-2	Hgb Fract Bld Elph Citrate-Imp
13514-5	Hgb Fract Bld Elph-Imp
50791-3	Hgb Fract Bld Elph pH6.0-Imp
42247-7	Hgb Fract Bld HPLC-Imp
12710-0	Hgb Fract Bld-Imp
49000-3	Hgb Free CSF Ql
721-1	Hgb Free Plas-mCnc
720-3	Hgb Free Plas Ql
25433-4	Hgb Free Plas-sCnc
4635-9	Hgb Free Ser-mCnc
4636-7	Hgb Free Ur-mCnc
40721-3	Hgb F Spec Ql Apt-Downey
86912-3	Hgb goal mCnc Bld
32017-6	Hgb Other MFr Bld Elph
42248-5	Hgb Other MFr Bld HPLC
723-7	Hgb Prt-mCnc
42810-2	Hgb Retic Qn
71694-4	Hgb Retic Qn Auto
4621-9	Hgb S Bld Ql
4622-7	Hgb S Bld Ql Elph Acid
4623-5	Hgb S Bld Ql Elph Alk
6864-3	Hgb S Bld Ql Soly
4625-0	Hgb S MFr Bld
32683-5	Hgb S MFr Bld Elph
44923-1	Hgb S MFr Bld HPLC
56476-5	Hgb S MFr DBS
724-5	Hgb Snv-mCnc
41619-8	Hgb Unstab RBC Ql IPS
726-0	Hgb Ur-mCnc
725-2	Hgb Ur Ql
5794-3	Hgb Ur Ql Strip
57751-0	Hgb Ur Ql Strip.auto
50559-4	Hgb Ur Strip.auto-mCnc
49137-3	Hgb Ur Strip-mCnc
16937-5	HGV RNA Ser Ql NAA+probe
19742-6	HHPA IgE Qn
26026-5	HHPA IgE RAST Ql
44519-7	HHV6 Ab Ser Ql
33941-6	HHV6 DNA Bld Ql NAA+probe
33942-4	HHV6 DNA CSF Ql NAA+probe
49389-0	HHV6 DNA # Mar NAA+probe
47410-6	HHV6 DNA SerPl NAA+probe
43244-3	HHV6 DNA Ser Ql NAA+probe
38349-7	HHV6 DNA # Spec NAA+probe
38350-5	HHV6 DNA Spec NAA+probe-Log#
29495-9	HHV6 DNA Spec Ql NAA+probe
49390-8	HHV6 DNA # Tiss NAA+probe
33940-8	HHV6 DNA Tiss Ql NAA+probe
49393-2	HHV6 DNA # Ur NAA+probe
40730-4	HHV6 IgG Ser Ql IA
27168-4	HHV6 IgG Titr CSF IF
34179-2	HHV6 IgG Titr Ser IA
25416-9	HHV6 IgG Titr Ser IF
41147-0	HHV6 IgM Ser Ql
40731-2	HHV6 IgM Ser Ql IA
43025-6	HHV6 IgM Titr CSF
27159-3	HHV6 IgM Titr CSF IF
25417-7	HHV6 IgM Titr Ser IF
86544-4	HHV7 DNA Bld Ql NAA+probe
44423-2	HHV7 DNA Spec Ql NAA+probe
49394-0	HHV7 DNA # Ur NAA+probe
31416-1	HHV7 IgG Ser-aCnc
43023-1	HHV7 IgG Titr Ser
26972-0	HHV7 IgG Titr Ser IF
31417-9	HHV7 IgM Ser-aCnc
43022-3	HHV7 IgM Titr Ser
27177-5	HHV7 IgM Titr Ser IF
32364-2	HHV8 DNA SerPl Ql NAA+probe
49402-1	HHV8 DNA # Tiss NAA+probe
49405-4	HHV8 DNA # Ur NAA+probe
43021-5	HHV8 IgG Ser-aCnc
42508-2	HHV8 IgG Ser IF-aCnc
41146-2	HHV8 IgG Ser Ql
40834-4	HHV8 IgG Ser Ql IF
47050-0	HHV8 IgG Titr Ser IF
20445-3	HHV Spec Cult
85678-1	H influen acs Ct Spec Qn NAA+probe
85683-1	H influen bcs Ct Spec Qn NAA+probe
85679-9	H influen bex Ct Spec Qn NAA+probe
85682-3	H influen ccs Ct Spec Qn NAA+probe
85681-5	H influen dcs Ct Spec Qn NAA+probe
85680-7	H influen ecs Ct Spec Qn NAA+probe
85627-8	H influenz hpd Ct Spec Qn NAA+probe
76602-2	H influenz lex2 # XXX.body fld NAA+probe
49903-8	Hippurate/Creat 24h Ur-sRto
13754-7	Hippurate/Creat Ur
29528-7	Hippurate/Creat Ur-sRto
25161-1	Hippurate Cry #/area UrnS HPF
5795-0	Hippurate Cry UrnS Ql Micro
26833-4	Hippurate Ur Ql
50746-7	Hirudin PPP Chro-aCnc
34317-8	Histamine 24h Ur-sCnc
25439-1	Histamine 24h Ur-sRate
46436-2	Histamine Bld-sCnc
13755-4	Histamine/Creat Ur
44371-3	Histamine/Creat Ur-sRto
34316-0	Histamine SerPl-sCnc
33290-8	Histamine Ur-sCnc
2424-0	Histidine 24h Ur-mRate
25926-7	Histidine 24h Ur-sCnc
25440-9	Histidine 24h Ur-sRate
13398-3	Histidine Amn-mCnc
27111-4	Histidine Amn-sCnc
30047-5	Histidine/Creat Ur-Rto
22703-3	Histidine/Creat Ur-sRto
9453-2	Histidine CSF-sCnc
32246-1	Histidine Fld-sCnc
27972-9	Histidine SerPl-aCnc
2420-8	Histidine SerPl-mCnc
20645-8	Histidine SerPl-sCnc
22717-3	Histidine Spec-sCnc
27904-2	Histidine Ur-sCnc
26027-3	Histiocytes #/area UrnS HPF
35057-9	Histiocytes # Fld
20504-7	Histiocytes NFr CSF
20493-3	Histiocytes NFr Fld Micro
40519-1	Histiocytes NFr Plr Manual
13596-2	Histiocytes Nose Ql Micro
38994-0	Histiocytes UrnS Ql Micro
30359-4	Histone Ab Ser-aCnc
43231-0	Histone Ab Ser IA-aCnc
8071-3	Histone Ab Ser Ql
5217-5	Histone Ab Ser Ql IF
29996-6	Histone IgG Ser IA-aCnc
32602-5	HIV1+2 Ab CSF Ql
56888-1	HIV 1+2 Ab+HIV1 p24 Ag SerPl Ql IA
43185-8	HIV 1 & 2 Ab Patrn Ser IB-Imp
22357-8	HIV1+2 Ab Ser-aCnc
44533-8	HIV1+2 Ab Ser Donr Ql
42768-2	HIV 1 & 2 Ab Ser-Imp
5223-3	HIV1+2 Ab SerPl IA-aCnc
31201-7	HIV1+2 Ab SerPl Ql IA
7918-6	HIV1+2 Ab Ser Ql
44873-8	HIV1+2 Ab Ser Ql IB
40733-8	HIV1+2 IgG SerPl Ql IA
41290-8	HIV1+2 IgM SerPl IA-aCnc
85361-4	HIV1+2 RNA Bld Ql NAA+probe
96556-6	HIV 1 & 2 RNA SerPl NAA+probe
85368-9	HIV1+2 RNA SerPl Ql NAA+probe
16974-8	HIV1 Ab CSF Ql
57974-8	HIV1 Ab CSF Ql IB
42627-0	HIV1 Ab CSF Ql IF
34592-6	HIV1 Ab Fld Ql IB
13499-9	HIV1 Ab Patrn Ser IB-Imp
41143-9	HIV1 Ab Sal-aCnc
35438-1	HIV1 Ab Sal IA-aCnc
41144-7	HIV1 Ab Sal Ql
35439-9	HIV1 Ab Sal Ql IB
21007-0	HIV1 Ab Ser Donr Ql
43599-0	HIV1 Ab Ser IF-aCnc
86233-4	HIV1 Ab SerPlBld Ql IB
85686-4	HIV1 Ab SerPlBld Ql IF
5220-9	HIV1 Ab SerPl IA-aCnc
5221-7	HIV1 Ab SerPl Ql IB
7917-8	HIV1 Ab Ser Ql
14092-1	HIV1 Ab Ser Ql IF
53379-4	HIV1 Ab Spec Ql
5222-5	HIV1 Ag SerPl Ql IA
24012-7	HIV1 Ag Ser Ql
12893-4	HIV1 gp105 Ab Ser Ql IB
35441-5	HIV1 gp120 Ab Sal Ql IB
44532-0	HIV1 gp120 Ab Ser Ql
9661-0	HIV1 gp120 Ab Ser Ql IB
14126-7	HIV1 gp120+gp160 Ab Ser Ql IB
35440-7	HIV1 gp160 Ab Sal Ql IB
9660-2	HIV1 gp160 Ab Ser Ql IB
12870-2	HIV1 gp34 Ab Ser Ql IB
35452-2	HIV1 gp40 Ab Ser Ql IB
35446-4	HIV1 gp41 Ab Sal Ql IB
9662-8	HIV1 gp41 Ab Ser Ql IB
19110-6	HIV1 gp41+gp43 Ab Ser Ql IB
28004-0	HIV1 IgG CSF Ql IB
12872-8	HIV1 p15 Ab Ser Ql IB
16132-3	HIV1 p15+p18 Ab Ser Ql IB
35449-8	HIV1 p17 Ab Sal Ql IB
9663-6	HIV1 p17 Ab Ser Ql IB
32827-8	HIV1 p17+p18 Ab Ser Ql IB
35450-6	HIV1 p18 Ab Sal Ql IB
12859-5	HIV1 p18 Ab Ser Ql IB
12855-3	HIV1 p23 Ab Ser Ql IB
35448-0	HIV1 p24 Ab Sal Ql IB
16978-9	HIV1 p24 Ab Ser-aCnc
43011-6	HIV1 p24 Ab Ser Ql
9664-4	HIV1 p24 Ab Ser Ql IB
21331-4	HIV1 p24 Ab Titr Ser IB
16979-7	HIV1 p24 Ag CSF-aCnc
9665-1	HIV1 p24 Ag Ser-aCnc
44872-0	HIV1 p24 Ag SerPl Donr Ql IA
42339-2	HIV1 p24 Ag SerPl IA-mCnc
18396-2	HIV1 p24 Ag SerPl Ql IA
9821-0	HIV1 p24 Ag Ser Ql
12871-0	HIV1 p26 Ab Ser Ql IB
12857-9	HIV1 p28 Ab Ser Ql IB
35447-2	HIV1 p31 Ab Sal Ql IB
9666-9	HIV1 p31 Ab Ser Ql IB
35564-4	HIV 1 p31+p32 Ab Ser Ql IB
12858-7	HIV1 p32 Ab Ser Ql IB
35565-1	HIV 1 p40 Ab Ser Ql IB
31072-2	HIV1 p41 Ab Ser Ql IB
21332-2	HIV1 p41 Ab Titr Ser IB
35445-6	HIV1 p51 Ab Sal Ql IB
9667-7	HIV1 p51 Ab Ser Ql IB
12876-9	HIV1 p53 Ab Ser Ql IB
35444-9	HIV1 p55 Ab Sal Ql IB
9668-5	HIV1 p55 Ab Ser Ql IB
12895-9	HIV1 p58 Ab Ser Ql IB
12875-1	HIV1 p64 Ab Ser Ql IB
35443-1	HIV1 p65 Ab Sal Ql IB
12856-1	HIV1 p65 Ab Ser Ql IB
33508-3	HIV1 p65+p66 Ab Ser Ql IB
35442-3	HIV1 p66 Ab Sal Ql IB
9669-3	HIV1 p66 Ab Ser Ql IB
12894-2	HIV1 p68 Ab Ser Ql IB
9837-6	HIV 1 pro DNA Bld Ql Probe amp
48023-6	HIV 1 pro DNA SerPl Ql NAA+probe
5017-9	HIV1 RNA Bld Ql NAA+probe
41498-7	HIV1 RNA # CSF NAA+probe
41497-9	HIV1 RNA CSF NAA+probe-Log#
42917-5	HIV1 RNA CSF Ql NAA+probe
70241-5	HIV1 RNA # Plas NAA DL=20
59419-2	HIV1 RNA # Plas Probe+sig amp
23876-6	HIV1 RNA Plas Probe+sig amp-aCnc
29539-4	HIV1 RNA Plas Probe+sig amp-Log#
79380-2	HIV 1 RNA+proviral DNA Bld Ql NAA+probe
79379-4	HIV 1 RNA+proviral DNA Plas Ql NAA+probe
80689-3	HIV 1 RNA RT + PR + IN Mut Det Plas Seq
81122-4	HIV 1 RNA RT + PR Seq SerPlBld
21333-0	HIV1 RNA # Ser
47359-5	HIV1 RNA SerPl Donr Ql Probe amp
51780-5	HIV1 RNA SerPl NAA DL=0.5-Log#
48510-2	HIV1 RNA SerPl NAA DL=1.7-Log#
48552-4	HIV1 RNA SerPl NAA DL=2.6-Log#
48551-6	HIV1 RNA # SerPl NAA DL=400
48511-0	HIV1 RNA # SerPl NAA DL=50
20447-9	HIV1 RNA # SerPl NAA+probe
62469-2	HIV1 RNA SerPl NAA+probe-aCnc
29541-0	HIV1 RNA SerPl NAA+probe-Log#
21008-8	HIV1 RNA # SerPl Probe
10351-5	HIV1 RNA SerPl Probe amp-aCnc
41516-6	HIV1 RNA SerPl Probe amp DL=1.9-Log#
41514-1	HIV1 RNA SerPl Probe amp DL=2.6-Log#
41513-3	HIV1 RNA # SerPl Probe amp DL=400
41515-8	HIV1 RNA # SerPl Probe amp DL=75
25835-0	HIV1 RNA SerPl Ql NAA+probe
77369-7	HIV1 RNA Smn Ql NAA+probe
25836-8	HIV1 RNA # Spec NAA+probe
49890-7	HIV1 RNA Spec NAA+probe-Log#
5018-7	HIV1 RNA Spec Ql NAA+probe
44607-0	HIV1 SerPl IA-Imp
87962-7	HIV 1 subtype CSF NAA+probe
47029-4	HIV 2 Ab CSF Ql IB
31073-0	HIV 2 Ab Patrn Ser IB-Imp
5224-1	HIV 2 Ab SerPl IA-aCnc
30361-0	HIV 2 Ab SerPl Ql IA
5225-8	HIV 2 Ab Ser Ql IB
21334-8	HIV2 gp105 Ab Ser Ql IB
21335-5	HIV 2 gp120 Ab Ser Ql IB
10901-7	HIV2 gp125 Ab Ser Ql IB
57976-3	HIV 2 gp140 Ab Ser Ql IB
21336-3	HIV2 gp15 Ab Ser Ql IB
21337-1	HIV2 gp34 Ab Ser Ql IB
10902-5	HIV2 gp36 Ab Ser Ql IB
11078-3	HIV2 gp80 Ab Ser Ql IB
33807-9	HIV 2 IgG Ser Ql
62456-9	HIV2 p15 Ab Ser Ql IB
57977-1	HIV 2 p16 Ab Ser Ql IB
11079-1	HIV2 p26 Ab Ser Ql IB
21338-9	HIV2 p31 Ab Ser Ql IB
45212-8	HIV 2 p31+p34 Ab Ser Ql IB
57978-9	HIV 2 p34 Ab Ser Ql IB
13920-4	HIV2 p41 Ab Ser Ql IB
11080-9	HIV2 p53 Ab Ser Ql IB
21339-7	HIV2 p55 Ab Ser Ql IB
11081-7	HIV2 p56 Ab Ser Ql IB
21340-5	HIV2 p58 Ab Ser Ql IB
11082-5	HIV2 p68 Ab Ser Ql IB
25841-8	HIV 2 proviral DNA Bld Ql NAA+probe
34699-9	HIV 2 proviral DNA SerPl Ql NAA+probe
25842-6	HIV 2 proviral DNA Spec Ql NAA+probe
86547-7	HIV 2 RNA # CSF NAA+probe
86549-3	HIV 2 RNA CSF NAA+probe-Log#
86548-5	HIV 2 RNA # Plas NAA+probe
69354-9	HIV 2 RNA SerPl NAA+probe-aCnc
81652-0	HIV 2 RNA SerPl NAA+probe-Log#
69353-1	HIV 2 RNA SerPl Ql NAA+probe
6429-5	HIV Bld Cult
48558-1	HIV Gentyp Islt
33630-5	HIV PI gene Mut Det Islt
30554-0	HIV RT gene Mut Det Islt
4820-7	HLA-B27 Donr Ql
26043-0	HLA-B27 Ql NAA+probe
13911-3	HLA-B27 Related Ag Ql
